PlanetIndex,star_class,star_temperature_in_Kelvin,star_radius_in_Solar_radii,distance_from_Earth_to_the_system_in_parsecs,semimajor_axis_of_the_planet_in_AU,planet_radius_in_km,planet_density,planet_surface_pressure_bars,kappa,gamma1,gamma2,alpha,beta,planet_surface_temperature_Kelvin,H2O,CO2,O2,N2,CH4,N2O,CO,O3,SO2,NH3,C2H6,NO2,planet_atmospheres_avg_mol_wgt,planets_mean_surface_albedo
0,5,3865.8815448891182,0.6116956248424297,8.641153238276944,0.2368616196867113,5547.156365434993,5.236610755,3.1328216828535664,-2.729804993,0.6745014528421085,-0.504561627,0.530267925,0.9461553940331668,305.64088407434184,0.0223478026432198,0.3265491832220236,0.4293763267969328,0.15685487867932,0.041486154,0.009597832,0.000568786,0.003301613,0.008869041,0.000875263,0.000164218,8.90077e-06,34.758161027570445,0.1394588717377639
1,3,6021.794550637255,1.8676464918531708,14.332857949630643,1.7151269154746736,4784.145072915197,4.995815011139473,4.638380406694414,-2.745323757,0.7356221342200313,-0.286947894,0.6416656131407901,0.7561375682152724,237.46414354695884,0.043725007,0.6621657541754187,0.1153708997971667,0.098200183,0.0477147473804514,0.008108687,0.004632778,0.001051342,0.0168435959188894,0.002147248,2.93266e-05,1.04319e-05,38.791946640905614,0.4649531293882933
2,5,4942.461589,0.8177587622578051,13.639490220243443,0.8327093441171247,7876.184047720105,6.244479345687936,0.7786806962212666,-2.585832513,1.0156781299843618,-0.353108859,0.6245573593936492,0.9144037168281196,214.4402647474106,0.0190035283988183,0.4087727866955998,0.4067950488407575,0.1044336977042067,0.0412703,0.007964049,0.006792042,0.001023155,0.002748841,0.000792736,0.000399723,4.09305e-06,35.72799630347472,0.4995327034220634
3,3,6977.734685522355,1.619337592336909,5.968851769485165,3.7135922064366063,5605.477562604415,5.388937524326547,2.7530211469281243,-2.11919318,-1.09347483,-0.383041575,0.9723283297828228,0.814738369,210.63747267249815,0.029408624,0.1519192116199214,0.5448864946938633,0.205942092,0.053249656,0.005449024,0.003530607,0.003131942,0.000202093,0.002212743,6.48861e-05,2.6266e-06,31.81664285527122,0.3913742288550816
4,5,5274.437388490636,0.7701240822174523,9.137346567,0.8738156367413294,8314.135890173073,6.463901802419233,2.3874878264565265,-2.156637243,0.8946941899912111,-1.291124931,0.8716957174570285,1.0350233263918902,372.6771373743319,0.0109445584633096,0.430828608,0.1533375298510864,0.3461766996592585,0.04666333,0.00744974,0.000902575,0.000740046,0.000329443,0.002503887,0.000113392,1.0192e-05,34.966869005066556,0.2951099641497851
5,4,5695.687160485009,1.2014694929939749,8.130345335809466,1.939610544462303,7537.193307897784,6.152534591,3.1857118394322725,-3.064955873,0.757758314,-1.483441378,0.1454037640741107,0.8613788333455472,175.69039889942331,0.0487718977699297,0.6722602155388697,0.090157222,0.1183984348830076,0.0444868938418134,0.0117194662242791,0.008647015,5.44001e-05,6.455044989962951e-07,0.005052677,0.000438194,1.29382e-05,38.23996653893568,0.3867994446204505
6,5,4957.857235459244,0.6263149376443575,1.5264375384124025,0.4176825860787259,5650.671895971124,5.396911263836411,0.6558879595478015,-2.60564059,-0.765957602,-0.337171272,0.2387807167943543,0.9828781092919234,320.9612898074898,0.033448957,0.1843743599876819,0.2551727664929528,0.4574941805775472,0.052641164,0.001567359,0.005351626,0.000954473,0.004590728,0.004221923,0.000172937,9.52648e-06,31.178707440172516,0.433509205
7,3,6043.568735053976,1.6160732017191426,10.22670059,2.5891189284339147,7754.951176825303,6.276168420831797,1.2515987949823069,-2.097407116,-1.216466347,-1.187993843,0.3049234029923637,1.0352744465965238,343.89166232681464,0.1265893858443965,0.1188985381317542,0.2478573348602419,0.3997555928435949,0.0491270342250499,0.0163333992583005,0.0181505904945168,0.001600334,0.0113817168867064,0.0100657739105862,0.000235423,4.87664e-06,29.64303215196983,0.3894744292111091
8,4,5620.208027377634,1.191618594923622,8.401638075,0.8804327861112669,9124.046958929075,6.9316296224033795,1.8968760079676397,-3.386827756,-1.309864244,-1.433292026,0.2360926280033363,0.7183687534464391,217.1376187586363,0.0101182845859438,0.095868992,0.3463506198437121,0.4556956826141907,0.06004261,0.008720327,0.007678772,0.002520323,0.006159607,0.006728113,0.000104725,1.19446e-05,30.445631319162903,0.1217082554138971
9,4,5850.730067258239,0.9608490364551684,2.846289029316747,1.4874360596900753,7481.534741888685,6.096788494519942,3.235236945212072,-2.946794714,-0.704564882,-0.894936668,0.79032774,1.0203300385827003,277.6366883425155,0.042713129,0.1065335721105292,0.4073985226991828,0.3990631267721054,0.008005333,0.013169035208693,0.007938205,0.000410121,0.0136247011536707,0.001099821,3.54969e-05,8.93572e-06,31.516616390163815,0.135804776876052
